user_id,video_id_sequence
118,"3795,7235,94,6701,3588,1069,4906,1069,6243,4644,1788,6931,2822,1272,1080,1839"
119,"6507,7356,1522"
120,"6507,2795,909,3393,5613"
121,"1285,4013,6527,4242,6154,7499,6262,2068,2798,4980,6243,4421,4906,6687,5733,2083"
122,"5522,3831,4794,1200,3000,1058,4955,4319,4636,3557,2790,1754,1164,2303,1570,6527,6488,5822,74,4786,3175,6086,74"
123,"3600,5692,908"
124,"1486,3993,6921,3735,6975,5176,6551,6551,3232,2874,3897"
125,"233,6141,5774,6019,2551,2726,954,5868,4636,6701,6069,655,3969,2160,445,29,5641,627,4814,2383,5277,5169,1217,4170,7060,2510,3369,194,2678"
126,"6594,3923,5849,4460,3581,4955,3315,2399"
127,"5034,6541,3902,597,7247,1230"
128,"6533,1252,101,2630"
129,"2268,1133,3273,6922,6922,2867,1252,6291,6132,6132"
130,"4562,5272,4322,2438,5571,3979,2406,6769,4603,3018,3041,3706,2795,5137,324,2940"
131,655
132,"3218,393,7356,5354,7105,509,7160,5318,5374,4904,1052,1052,3026,3673"
133,"3020,6483,3232,459"
134,"664,1184,1912,4833,2041,6718,4270,5034,3941,7196,3566,3218"
135,"2313,299,7449,645"
136,"7015,4216,6962,5933,7017,682,1749,2510,2659,2961,2962,7264,204,1751,5787,3304,6967,1590"
137,"4636,4113,5664"
138,"4041,4411,6625,2959,7196,2596,178,5734,936,6588,6968,6397,3240,2254,2684,3369,7219,582,1706,2630,5683,1740,5284"
139,"1637,6398,969,2785,6303,21,537"
140,"3334,5318,1052,1052,289,6478,7150,3232,7348,7348,6413,6533"
141,403
142,"5986,2313,5789,1143,3831,6447,3348,6015,3283,6507,2487,4116,3830,4690,1377,602,597,2166,1483,2012,2527,6330,1486,3913,6426,4162,2383"
143,"5314,6504,5137,3302"
144,"6378,2268,403,1668,5371,2980,6818,2465,6531,6533"
145,"728,728,5633,3836,4631,7065,5911,2544,5939,1725,6968,5083,4554,1868,5347,6683"
146,4644
147,"4906,3831,3652,2594,6029,2435,2838,4420,185,7157,6832,5373,7129"
148,"1133,3236"
149,"6036,6036,4929,2231,6867,228,3159,2339,2963,5742,7137"
150,"2594,4636,5674,5159,5555,3691,6447,3298,4301,1046,2303,2027,4817,6426,5158,4631,197,4038,3315,1957,6968,5664,4729,76,222"
151,"2986,6346,3149,2897,4113,1707,5045,3430,3647"
152,"2317,1886,6921,1075,6433,969,559,627,3033,5176,5391,38,5866,886,4336,5137,5373,7229"
153,"1768,664,3564,5536,6718,7136,1912,4185,397,7356"
154,"7412,6989"
155,3600
156,"6794,1868,1185,220,5565,2061,2751"
157,"3159,769,4965,4846,4122,48,3041,3240,7298,2544,6862,5294,3956"
158,"362,3498,4423,6527,1200,4670,1714,3836,6962,4195,3685,2087,6843,5931,1707"
159,"4646,548,5478,1248,3386,1577"
160,"1184,5674,4313,2224,4496,6092,6291,3706,5675,6678,3591,38,6211,1707,3217,4737,5374,1412,5565,6111,1868,5857,6268,3430,3369,6718,3623"
161,"2464,2833,2407,1033,6659,5866,6921,6809,3554,3158,445,2452"
162,"3600,682,2387"
163,"2747,3841,4113,4751,2303,29,4258,6769,2790"
164,"4313,5246,4276,2383,5456,249,6252"
165,"3000,7240,2552,791,627"
166,"1788,2166,54,2949,961,5391,7026,3906,1285,5872,6774,145,6989,1976,1483,2024,4870,3913,1457,6205"
167,"4169,3018,7222,3902"
168,"5497,6714,4640,489,3685,6712,39,527,527,2963,6769,6687,6860,7240"
169,"3238,5392,621,5604,4927,7015,2279,7471,5913,1045,2303,7128,3691,6878,4006,6137,7199,5217,2945,2087"
171,"3441,7097,157,1018,2980,4751,4636"
172,"5246,6619,3561,3561,597,7136,6125,7368,911,1788,2610,2610,2752"
173,"7399,7444,6910,6890,6989,3215,6019,2485,5497,6862,868,321,5289,3238,2648,6357,5571,4644,6701,3018,6626"
175,"3969,6882,1189,2208,1726"
176,"5391,7074,7177,6569,2949,5290,2561,6778,3740,4907,5860,2303,804,7058,7235,3352,3796,7160,143,3089,2177,2524,4322,433,1911,6699,1302,6774,1304,2700"
177,"4646,3746,1632,5399,5399"
178,"3629,160"
179,"5158,5374,4941,204,3032,5849,6298,2332,453,1282,2751,3239,5553,2202,1957,3929,1639,4332,4584,1470,6975,54"
180,"274,7522,4417,2607,6531,7150,5013,1074,74,1580,623"
181,"2535,402,4113,969,1275,3128,4496,6082,1015,1885,4172"
182,"7302,5615,5683"
183,"3984,1285,6942,4020,2551"
184,"2030,2279,3611,445,453,4321,2445,6687,4856,3831,2491,5034,122,3822,2634,1695,6019,6161,579,2362,3501,3143,6989,3271,5211,748,1371,5613,3951"
185,"2712,2303,3685,2869,2171,1957,5031,4927,1751,3578"
186,"445,4870,4636,2368,5476"
187,"5603,4971,7399,2406,2004,1694,1694,1738,1738,3182,3182,4644,4569,4569,6006,6006,6132,6132"
188,"4460,7107"
189,"967,6962,2949,7099,3691,3018"
190,"1490,4496,4646,2049,5975,7423,7136,2873,4339,5307,89"
191,"3097,281,7138,1738,2684,4522,6746,6094,2957,1184,7485,3217,1033,5034,230,4949,5392,527,7180,1425,7356,832,3846,3018,7110"
192,"1934,2313,3267,6981,5050,6504,4172,1073"
193,"4882,29,3023,771"
194,"5318,7160,5195"
195,4646
196,"2254,4916,1252"
197,"1742,2113,299,6531,5225,4672,4071,509,6831,6485,6831"
198,"584,7380,1412,6507,5392,2980,1419,30,7335,7150,3892,6946,6441,6381,3970,4166"
199,"299,1747,2985,1747,3740"
200,"1252,299,1868"
201,"6006,6006,1694,1694,708"
202,"4032,2630,7219,3113,6478,4394"
203,3128
204,"63,2313,4476,3984,3423,6262,5674,256,4650,4341,2912,626,6094,281,2551,1060,1613,4771,2833,665,6989,5928,5928,2464,5239,3504,4451,3662,5371,982,2957,1575,4213,1656,5346,6997,5513,6282,4702,6346,2614,3913,145,7026,3238,3339,4130,5034,6775,382,4585,1184,650,2399,5306,7466,3023,1702,4768,6181,4607,5230,1788,4214,6749"
205,"6723,2568,7213,5602,2719,4789,6687,4214,3849,3897,4555,1693,703,4946,3763,193,1695,3670,6659,3079,132,6436,4803,5825,1054,5446,6884,5159,5959,1068,4077,1109,274,2148,1868,2805,2805,3526,4672,1939,4785,239,1792,6205,6267,4341,1200,3369,3232,846,6778,5108,3708,3083,3369,2878,29,5868,2383,3315,2313,309,7026,2033,2709,669,3233,5553,780,2031,792,1581,5005,1744,5029,6718,4737,2814,3712,5346,6069,3591,4955,6537,5346,2992,7105,4585,5475,3501,6541,2213,5188,63,3970,6222"
206,"2313,5928,5928,5796,3814,6978,5933,3685,6426"
207,"4992,7219,5056,6553,7220"
208,"407,2509,4161"
209,"908,6272,5545,2520"
210,"2431,3232,5274,1206,6507,7482,168,1187,6543,1187,2383,3273,3273,978,978,978,6478,3216,7378,3981,2066,3315,7085,436,7085,3216,2431,6272"
211,"4979,685,6778,5962,136,3706,6236,633,2961,41,83,478,5374,6860,4771,6601,6967,4166,657,29,5239"
212,"3561,3561,6191,7128,4584,2964,6507,1976,7015"
213,"6298,1668,2733,6659,4649,5029,598,5215,3232,21"
214,"904,5314,6130,6504,3891,2287,7271,1391,4640,6403,6003,7053,5729,3322"
215,"2197,3857,6416,2128,3215,6378,4003,7318,3625,590,3363,3210,2177,4893,907,3668,220,2054"
216,"4640,304,4867,3369,1498,6921,7015,226,6291,4941"
217,"5724,5567,65"
218,"4586,1825,4937,3227,2544,7257,2054,5561,607,5665,4603,3238,6471,832,3849,1478,5096,3605,5603,7287,4332,2348,330,7336"
219,"4185,4270,3113,6132,6132"
221,"1857,4182,1857,3418,1939,527,527,6700,1894,4750,2313,3159,3102,6979,6865"
222,"4788,4631,6504,3685,1157,1285,53,3321,4113,5158,1200,1419,3545,7101,2115"
223,"3238,5137,833,6181,6839"
224,"2399,6507"
225,"3331,5522,6852,5928,5928,1923,6019,6792,6769,2962"
226,"5633,1389,3654,4113,4113,2383,3128,5513,868,226,6346,1535,6291,2407"
227,"2171,3936,627,347,6605,6942,232,6832,6365,5186,140,5075,5463"
228,"1299,4706,5607,5004,2630,5844,4672,2805"
229,"2313,419,419,3951,188,2784,2573,3916,6177,6195,4496"
230,"5769,6132"
231,"4904,2061"
232,"2654,2590,5585,35,4644,1528,7015,3018,1833,1861,1868"
233,"5551,6132,6132,1694,1694,3742,7298"
234,"6186,2670,5235,5608,6236,6518,5995,5096,2393,7017"
235,"6132,6132,4569,6989"
236,"5697,2303,445,3587,6024,6942,5790,526,3670,657,3706"
237,"4272,1717,7359,6291,2303,6423,1996"
238,"4587,3725,2927,1486,2391,3483,618,1691,7295,679,6979,273,7136,3310,3673,1458,1743,3334,3152,909,1048,4185,4270,5844,3978,6678,1076,4968,4672,923,2968,5713,2678,2162,5966"
239,"4906,1069,4197,6921,1308,185,1993,2160,2208,2445,2399,3902,1878"
240,"6584,153,1510,5846,936,5620,3198,1321,792"
241,"4955,5553,1412,3461"
242,"7186,7011,1779,3775,4032,220,3216,2993,4934,5351"
243,"3018,2303,5314,6009,2700,6975"
244,"2501,6026,4417,3018,5318,299"
245,"2659,3232"
246,"1970,2297,5804,3978,6979,2957,2276,4185"
247,"5827,5318,4214,3746"
248,"6711,39,4004,2190,3833,7357,4607,7257,2303,6439"
249,"3936,4672"
250,"534,621,6425,3277,4631,1749,2631,1707,1060,2729,2528,6518,4961,5512,3155"
251,"745,4670,6694,1934,3352,5952,7136,5919,3902,5665,4506,3104,6921"
252,"204,985,985,3680,2594,4194,2654,6973,5239,658,3670,239,3680,2555,4843,4101,6507,6051,748,7486,3504,6291,6775"
253,"3587,5664,2999,6775"
254,"7172,4270,6390,5838"
255,"3654,254,4311,4025,2951,4477"
256,"2027,330,1755,6209,1498,792,39,1537,4899,1957,1957,3139,6565"
257,"969,2654"
258,"4284,1487,2785,256,6565,3568,3500,1741"
259,"1837,4636,4263,2303"
260,"3125,7045,5567,6478,5073,4672"
261,"2510,6282,7440,134,1934,909,5310,54,3143,1706,6809,1326,4013,4130,3310,4960,4710,3369,247,7180,6659,1868,3849,2795,252,5351"
263,"2544,3441,7063,4569,4569,3866,3625,330"
264,"4721,6063,6531"
265,"1047,1704,6190,3270,6413,2795,5860,5975,1133"
266,"232,347,3965,3352,3159,1425,4644,5215,5381"
267,"3090,6839,5553,5274,4899,4506,368"
268,"2959,4672,1694,1694,6132,6132,2630,3590,3363,3237,335,335"
269,"2438,4636,3732,3949,1976,4162,3654,5410,3018,2160,3580,3553,145,3960,4003,2291,5181,3248,2729,6705,167,167,7099,1754"
270,"5872,5414,1621,2041,5374,843,1638,2160,7138,2904,2684,2684,4636"
271,"453,1725"
272,"728,728,7180,7494,1285,4831,1018,4640,120,4928,4172,7063,2684,2684,5747,5314,5215,5392,5474,5474"
273,2414
274,"6426,3866,3359"
275,180
276,"6605,4332,1010,6222,6222,6531,3213,2383,832,443,682,3155,7287,6975,2795,3315,4105,605,2510,6626"
277,"2941,936,909,4185"
278,"7172,430,1462,4814,5674,2712,1285,1638,4549,6921,1225,2076,1200,1639,3739,7542,5273,6507,908,6064"
279,"6921,1575,1486,3394,1110,1636,5128,4439,3581,475,3600"
280,"2465,4607"
281,"6902,453,7044,4113,3573"
282,"4588,6877,1633,2513,1162,2681,3279,5403,5955,4888,2981"
283,"2795,1807,1402,4916,2171,5591,6189,5809,1522,3159,5846,5983"
284,"5826,4579,5513,315,6687,3512,7498,5674,453,7172,3587,333,6884,2368,2030,1693,1146,281,1658,6267,1749,5759,4158,5351,5790,171,7145,2719,1280,3951,2413,3706,897,2607,4341,6205,7136,5697,4785,3518,2491,3352,3173,5366,63"
285,"6694,4600,6209,104,6921,2533,2533,6033,6033,5211,3595,3595"
286,"143,3645,7257,4144,2740,4640,120,3143,1909,500,5033,3936,5311,520,1103,5900,2794,2794,226,1425,29,4646,4506,7136,453,1440"
287,"1110,3755,1957,2635,1395,4638,4105,2695,4302"
288,"3959,5133,6504,1490,5860,197,1749,7358,4636"
289,"2767,7436,1938,5933,6118,2962,4549,6061,3500,7471,1096,1096,6396,4751,4705,2313,3462,3670,4899,1754,4283,54,4644,6975,5379,2949,6162,682,5320,7137,2631,4823,2926,3018,1861,3691,6769,4670"
290,"2732,1080,1691,289,5536,1522,7136,2033"
291,"2716,3799,647,626,7051,5668,5668,3902,3969,3076,1590,122,908,1308,4710,7264,3221,7015,6718,6886"
292,"4965,5631,3238,866,1490,3982,1498,7397,4786,982,2054,7466,5374,3222,6439,643,3858,5455,2962,1825,1953,3232,3418,5346,5936,1755,3198,2544,4496,5734,1879,180,127,6524,4634,6003,6225,6705,5430"
293,"2389,461,6190"
294,"5664,5070,4955,6651,665,6714,3232,6888,5158,4627,5391,2464,6346,324,4341,4108,4162,5674,145,1298,1212,6298,3505,5931,2066,3923"
295,"1057,1057,4644,4768,2313,3369,6507,6433,3601,1886,382,4794,7072,934,4856,2445,7015,1129,1129,4894,4980,2331"
296,"4702,386,1754,1068,4013,1349,38,5443,2962,5522,4870,6282,6769,5868,5239,1621,2395,605,711,7478,2049"
297,"1785,664"
298,"6091,3670,7372,2594,1683,3159,2464,6884,7466,1886,3650,3393,6989,4650,5374,5238,1956,5541,6120,3763,1502,7235,132,2395,1085"
299,"5158,53,2962,664,7240,5622,4336,647,6426,2533,2791,7013,3600,2399,5395,257,257,3735,324,1957,1957,6378,4563,1396,1498"
300,"7136,3352,6441,7256,6280,4063,6342,2941,1886"
301,"1247,3775,745,38,5045,6103,1976,2415"
303,"4644,7150,4624,1080,1313,2217,3588,2061,3504,6572,120,3048,2744,3310,6181,4308,5844,3926,4894,185,6989,2872,6733"
304,"4975,2411,7231,1805"
305,"2464,2399,2066,3303,6277"
306,"6987,947,3654,2962,5561,996,2521,5759,1142"
307,2399
308,7015
309,"1717,5539,6804,4552,70,1499"
310,"7260,1038,6831,2399"
311,"1069,1069"
312,"120,1274,5994,2041,860,6029,1900,2376,3393,4002,5103,7257,2303,2227,2740,5926,2002,3436"
313,"247,2030,240,6527,2303,3000,4631,2363,4710,2869,7017,610"
314,"5683,6968,5314"
315,"3625,1052,1052,6634,3005,403,2544,4335,2506,2162,623,2980"
316,"3142,6439,6565,3090,1639,2980,3796,1804,3913,3359,4899,308,1741,3844,2245,4955,4423,3357,1419,6847,6668,5168,3654"
317,"3746,4086,1252,5934,393,276,4411,6065"
318,"1614,5238,2510,4870,4415,2399,3348,3348,368,3369,7160,2049"
320,"7295,4646,3897"
321,"6946,5683,4636,5307,7017,2700,4161,6504,5875,2303"
322,"4917,3273,3941,2675"
323,"3923,274,2004,6769,3018,2027,1755,6019,1206,1328"
324,"4679,1395,3982,2313,6189,749,5603,1184,1868,2177,792,4644,3131,6921,1879,1976,5045,3159,3625"
325,"6962,2322,5031,2245,792,4423,678,473,2087,3104,6001,4283,6191,4899,1064,4662,6398,6565,2962,2030,226,5585,2631,5514,6274,3098"
326,"2957,4650,2041,5872,6775,2303,3523"
327,"3451,7335,1516"
328,"1464,3018,5455,2122,5346,3790,6975,792,605,3654,1734,3032,3876"
329,"3662,2590,2406,682,5133,2030,6775"
330,"6626,38,2383,6921,3207,1783,5931,2303,3685,4614,2795,54,6507,2399,3239,5555,1957,2092"
331,6775
332,"3508,6467,6875,2747,1660,6031,5770,67,4695,6426,3638"
333,"4270,2061,6909,3978"
334,"57,1725"
335,"3198,2179,6169,4439,2986,969,1956,3033,1504,38,2923,5522,2084,3112,6241,6416,5410,5476,657,2994,2383,5872,5633,5983,1308,2659"
336,"695,714,6946,2630"
337,"7318,5073"
338,"2908,65,7136"
339,"5309,4646,682,3273,6026,7150"
340,1486
341,"610,238,3955,3959,7302,2750,2303,5585,4660,3010,4941"
342,"4339,5374,4313,4543,2303,4108,6282"
343,"6331,4479,3483,664,6441,6026"
344,"3097,4640,3143,682,2510,4631,4715,6061,4439,526,7245,2527,337,940,1075,4807,4605,4849,3670"
345,"5943,4506,2218,2218,334,3791,6212,6212,822"
346,"6775,2383,3936,4768,7065,6975,5351,7235,7466,5463,1575,6839,5639,908,6286,445"
347,"4494,1723,789,706,706,1691,5034,6189,7196,162,7233,2612,2969,3709,6031,6540"
348,"2790,501"
349,"5852,7044,240,5507,5032,3387"
350,"4451,3159,2927,6989,6701,6103,3515,3858,2303,2326,4113"
351,"5158,3691,5347,5347,5414,3000,5789,3477,3334,1934,792,1888,4113,453,2949,1749,2544,1976,6636,45,2923,6268,220,904,3705,6962,537,4650,2171,6303,3315,1282,1058,5199,4506,7264,3989,3505,3239"
352,"5130,5130,149,199"
353,"4636,6577,2655,2030,5911,7136"
354,"2303,2213,2962,4803"
355,"3018,2444,1755,3541,1060,5201,2158,4569,4569,1075"
356,"4761,2731,5720,992,4577,5720,3218"
357,"757,1458,2500,2311,2405,6676,2981,7257,4569,4569,6368,5474,5474,4394,6711,3182,3182,4270,6676"
359,"2980,2897,6009,5148"
360,"1068,254"
361,"1788,1344"
362,"6973,4980,4650,2303,6282,48,3969,5239,213,2041,1886,5463,5109,7235,2559,3951,3913,1280,445,5597,3897,2208"
363,"2709,453,4636,2303"
364,"3129,5313,3511"
365,"3170,7160,6885,2986,3310,4506,1280"
366,"909,5159,6252,5239,156,4259,3252,527,527,6573,6573,2551,4313,2383,597,5844,4633,6865,5456,2303,364,386,5347,792,2822,1445,1652,2679,5972,3504"
367,"6820,5725,21"
368,"3352,508,2303"
369,2846
370,"6349,5310,2545,4927,5953,1590,1734,1734,6701,6210,6408,3885,2631,4283,2087,2171,6551,6551,3551,5774,3352,6418,3029,5662,3103"
371,"6921,2368,6769,6268,3587,3496"
372,"7287,3587,2245,7133,6694,3232,5557,168,1015,4899,3273,35,4153,4823,1902,4583,4748,4359,2393,2795,6396,7449,4946,4423,5083,4526,2158,6001,6510,6191,962,5168,6398,6583,6831,3234,4101"
373,"3357,3298,5952,6303,1825,1861,6662,5849,2051,5639"
374,4672
375,"5956,6378"
376,"5318,3746,5519,5375"
377,5954
379,"6962,2395,3849,7322,3706,2981,3706,5058"
380,"2033,967,2303,7097,3383,4277,1861"
381,"6127,3936,2908,2794,6207"
382,"2030,6701,2656,3186,6103,5831,4631,4099,7253,1490,2413,4600,607,6988,1808,2790,907,2406,6425,5392,945,1725,3849,6979,1706,5497,601,681,5169,3885,347,1731,220,6225,1007,2597,4087,1707,3182,3182"
383,"5045,6588,6103,2526,5414,4163,4569,4569"
384,"6504,2384,7063,945,1725,7233,6439"
385,"4112,1723,5445,7257,5865,5075,3207,2675,3625,1707,143,1419,5288,5948,3159,5240"
386,"4421,445,3369"
387,670
388,"445,4218,5239,1792,4013,1103,2160,1541,29,3951,185,7136,5348,6797,2508"
389,"4063,4190,370,3325,370,1189,6158,368,433,6158,5130,4680,7309,6106,2795,2958,2613,6921,6769,204,2464,885,669,909,596,4980"
390,"4640,5513"
391,"7488,5310,5971,682,4885,4004,5983,4640,678,1669,2231,3159,7277,204,3155"
392,"5119,2399,3685"
393,"3683,2630,7196"
394,"7219,1807,2313,141,1990,679,2086"
395,"2659,284,5620,1725,3128,2544,2819,3375,1632,4569,4569,5834"
396,"5239,5392,6775,2002,7261,3504,999,2798,6120,445,4771,29"
397,3910
398,"4672,909,771,933,722,67,5029,5374,3888"
399,"1868,4644,3504,3352,1761,3315,6027,2383,7349,6088,6551,6975,5674,7172,2962,5920"
400,"745,3196,6094,3208,3208,1285,1656,6140,5476,4640,2399,3299"
401,"2309,2309,7471,2795,305,4336,1157,2962,2347,1100,453"
402,6413
403,"1412,4888,6718,2747"
404,1868
405,"2399,453,3467,6769,3706,3430,2076,3310"
406,"25,1934,982,1885,2544,6626,682,2680,3921"
407,"285,6008,6510,3844,5613,3239,6303,5093,6687"
408,"3393,3129,5399,5399,3232"
409,"4955,6346,1489,4081,6888,1737,4552,2053,7172,3125,1841,232"
410,"7045,1343,5311,2611,1868,3159,220"
